team,year,wins,losses,ot_losses,win_pct,win_category,goals_for,goals_against,diff
Boston Bruins,"
                            1990
                        ","
                            44
                        ","
                            24
                        ","
                            
                        ","
                            0.55
                        ",success,"
                            299
                        ","
                            264
                        ","
                            35
                        "
Buffalo Sabres,"
                            1990
                        ","
                            31
                        ","
                            30
                        ","
                            
                        ","
                            0.388
                        ",danger,"
                            292
                        ","
                            278
                        ","
                            14
                        "
Calgary Flames,"
                            1990
                        ","
                            46
                        ","
                            26
                        ","
                            
                        ","
                            0.575
                        ",success,"
                            344
                        ","
                            263
                        ","
                            81
                        "
Chicago Blackhawks,"
                            1990
                        ","
                            49
                        ","
                            23
                        ","
                            
                        ","
                            0.613
                        ",success,"
                            284
                        ","
                            211
                        ","
                            73
                        "
Detroit Red Wings,"
                            1990
                        ","
                            34
                        ","
                            38
                        ","
                            
                        ","
                            0.425
                        ",danger,"
                            273
                        ","
                            298
                        ","
                            -25
                        "
Edmonton Oilers,"
                            1990
                        ","
                            37
                        ","
                            37
                        ","
                            
                        ","
                            0.463
                        ",danger,"
                            272
                        ","
                            272
                        ","
                            0
                        "
Hartford Whalers,"
                            1990
                        ","
                            31
                        ","
                            38
                        ","
                            
                        ","
                            0.388
                        ",danger,"
                            238
                        ","
                            276
                        ","
                            -38
                        "
Los Angeles Kings,"
                            1990
                        ","
                            46
                        ","
                            24
                        ","
                            
                        ","
                            0.575
                        ",success,"
                            340
                        ","
                            254
                        ","
                            86
                        "
Minnesota North Stars,"
                            1990
                        ","
                            27
                        ","
                            39
                        ","
                            
                        ","
                            0.338
                        ",danger,"
                            256
                        ","
                            266
                        ","
                            -10
                        "
Montreal Canadiens,"
                            1990
                        ","
                            39
                        ","
                            30
                        ","
                            
                        ","
                            0.487
                        ",danger,"
                            273
                        ","
                            249
                        ","
                            24
                        "
New Jersey Devils,"
                            1990
                        ","
                            32
                        ","
                            33
                        ","
                            
                        ","
                            0.4
                        ",danger,"
                            272
                        ","
                            264
                        ","
                            8
                        "
New York Islanders,"
                            1990
                        ","
                            25
                        ","
                            45
                        ","
                            
                        ","
                            0.312
                        ",danger,"
                            223
                        ","
                            290
                        ","
                            -67
                        "
New York Rangers,"
                            1990
                        ","
                            36
                        ","
                            31
                        ","
                            
                        ","
                            0.45
                        ",danger,"
                            297
                        ","
                            265
                        ","
                            32
                        "
Philadelphia Flyers,"
                            1990
                        ","
                            33
                        ","
                            37
                        ","
                            
                        ","
                            0.412
                        ",danger,"
                            252
                        ","
                            267
                        ","
                            -15
                        "
Pittsburgh Penguins,"
                            1990
                        ","
                            41
                        ","
                            33
                        ","
                            
                        ","
                            0.512
                        ",success,"
                            342
                        ","
                            305
                        ","
                            37
                        "
Quebec Nordiques,"
                            1990
                        ","
                            16
                        ","
                            50
                        ","
                            
                        ","
                            0.2
                        ",danger,"
                            236
                        ","
                            354
                        ","
                            -118
                        "
St. Louis Blues,"
                            1990
                        ","
                            47
                        ","
                            22
                        ","
                            
                        ","
                            0.588
                        ",success,"
                            310
                        ","
                            250
                        ","
                            60
                        "
Toronto Maple Leafs,"
                            1990
                        ","
                            23
                        ","
                            46
                        ","
                            
                        ","
                            0.287
                        ",danger,"
                            241
                        ","
                            318
                        ","
                            -77
                        "
Vancouver Canucks,"
                            1990
                        ","
                            28
                        ","
                            43
                        ","
                            
                        ","
                            0.35
                        ",danger,"
                            243
                        ","
                            315
                        ","
                            -72
                        "
Washington Capitals,"
                            1990
                        ","
                            37
                        ","
                            36
                        ","
                            
                        ","
                            0.463
                        ",danger,"
                            258
                        ","
                            258
                        ","
                            0
                        "
Winnipeg Jets,"
                            1990
                        ","
                            26
                        ","
                            43
                        ","
                            
                        ","
                            0.325
                        ",danger,"
                            260
                        ","
                            288
                        ","
                            -28
                        "
Boston Bruins,"
                            1991
                        ","
                            36
                        ","
                            32
                        ","
                            
                        ","
                            0.45
                        ",danger,"
                            270
                        ","
                            275
                        ","
                            -5
                        "
Buffalo Sabres,"
                            1991
                        ","
                            31
                        ","
                            37
                        ","
                            
                        ","
                            0.388
                        ",danger,"
                            289
                        ","
                            299
                        ","
                            -10
                        "
Calgary Flames,"
                            1991
                        ","
                            31
                        ","
                            37
                        ","
                            
                        ","
                            0.388
                        ",danger,"
                            296
                        ","
                            305
                        ","
                            -9
                        "
Chicago Blackhawks,"
                            1991
                        ","
                            36
                        ","
                            29
                        ","
                            
                        ","
                            0.45
                        ",danger,"
                            257
                        ","
                            236
                        ","
                            21
                        "
Dallas Stars,"
                            1995
                        ","
                            26
                        ","
                            42
                        ","
                            
                        ","
                            0.317
                        ",danger,"
                            227
                        ","
                            280
                        ","
                            -53
                        "
Detroit Red Wings,"
                            1995
                        ","
                            62
                        ","
                            13
                        ","
                            
                        ","
                            0.756
                        ",success,"
                            325
                        ","
                            181
                        ","
                            144
                        "
Edmonton Oilers,"
                            1995
                        ","
                            30
                        ","
                            44
                        ","
                            
                        ","
                            0.366
                        ",danger,"
                            240
                        ","
                            304
                        ","
                            -64
                        "
Florida Panthers,"
                            1995
                        ","
                            41
                        ","
                            31
                        ","
                            
                        ","
                            0.5
                        ",success,"
                            254
                        ","
                            234
                        ","
                            20
                        "
Hartford Whalers,"
                            1995
                        ","
                            34
                        ","
                            39
                        ","
                            
                        ","
                            0.415
                        ",danger,"
                            237
                        ","
                            259
                        ","
                            -22
                        "
Los Angeles Kings,"
                            1995
                        ","
                            24
                        ","
                            40
                        ","
                            
                        ","
                            0.293
                        ",danger,"
                            256
                        ","
                            302
                        ","
                            -46
                        "
Montreal Canadiens,"
                            1995
                        ","
                            40
                        ","
                            32
                        ","
                            
                        ","
                            0.488
                        ",danger,"
                            265
                        ","
                            248
                        ","
                            17
                        "
New Jersey Devils,"
                            1995
                        ","
                            37
                        ","
                            33
                        ","
                            
                        ","
                            0.451
                        ",danger,"
                            215
                        ","
                            202
                        ","
                            13
                        "
New York Islanders,"
                            1995
                        ","
                            22
                        ","
                            50
                        ","
                            
                        ","
                            0.268
                        ",danger,"
                            229
                        ","
                            315
                        ","
                            -86
                        "
New York Rangers,"
                            1995
                        ","
                            41
                        ","
                            27
                        ","
                            
                        ","
                            0.5
                        ",success,"
                            272
                        ","
                            237
                        ","
                            35
                        "
Ottawa Senators,"
                            1995
                        ","
                            18
                        ","
                            59
                        ","
                            
                        ","
                            0.22
                        ",danger,"
                            191
                        ","
                            291
                        ","
                            -100
                        "
Philadelphia Flyers,"
                            1995
                        ","
                            45
                        ","
                            24
                        ","
                            
                        ","
                            0.549
                        ",success,"
                            282
                        ","
                            208
                        ","
                            74
                        "
Pittsburgh Penguins,"
                            1995
                        ","
                            49
                        ","
                            29
                        ","
                            
                        ","
                            0.598
                        ",success,"
                            362
                        ","
                            284
                        ","
                            78
                        "
San Jose Sharks,"
                            1995
                        ","
                            20
                        ","
                            55
                        ","
                            
                        ","
                            0.244
                        ",danger,"
                            252
                        ","
                            357
                        ","
                            -105
                        "
St. Louis Blues,"
                            1995
                        ","
                            32
                        ","
                            34
                        ","
                            
                        ","
                            0.39
                        ",danger,"
                            219
                        ","
                            248
                        ","
                            -29
                        "
Tampa Bay Lightning,"
                            1995
                        ","
                            38
                        ","
                            32
                        ","
                            
                        ","
                            0.463
                        ",danger,"
                            238
                        ","
                            248
                        ","
                            -10
                        "
Toronto Maple Leafs,"
                            1995
                        ","
                            34
                        ","
                            36
                        ","
                            
                        ","
                            0.415
                        ",danger,"
                            247
                        ","
                            252
                        ","
                            -5
                        "
Vancouver Canucks,"
                            1995
                        ","
                            32
                        ","
                            35
                        ","
                            
                        ","
                            0.39
                        ",danger,"
                            278
                        ","
                            278
                        ","
                            0
                        "
Washington Capitals,"
                            1995
                        ","
                            39
                        ","
                            32
                        ","
                            
                        ","
                            0.476
                        ",danger,"
                            234
                        ","
                            204
                        ","
                            30
                        "
